pfam,feature_importance_vals
PF12776.5,0.0
PF12777.5,0.0
PF12778.5,0.0
PF12779.5,0.0
PF12780.5,0.0
PF12781.5,0.0
PF12782.5,0.0
PF12783.5,0.0
PF12784.5,0.0
PF12785.5,0.0
PF12786.5,0.0
PF12787.5,0.0
PF12788.5,0.0
PF12759.5,0.0
PF12757.5,0.0
PF12726.5,0.0
PF12740.5,0.0
PF12727.5,0.0
PF12728.5,0.0
PF12729.5,0.0
PF12730.5,0.0
PF12731.5,0.0
PF12732.5,0.0
PF12733.5,0.0
PF12734.5,0.0
PF12735.5,0.0
PF12736.5,0.0
PF12737.5,0.0
PF12738.5,0.0
PF12739.5,0.0
PF12741.5,0.0
PF12756.5,0.0
PF12742.5,0.0
PF12743.5,0.0
PF12744.5,0.0
PF12745.5,0.0
PF12746.5,0.0
PF12747.5,0.0
PF12749.5,0.0
PF12750.5,0.0
PF12751.5,0.0
PF12752.5,0.0
PF12753.5,0.0
PF12754.5,0.0
PF12755.5,0.0
PF12660.5,0.0
PF12659.5,0.0
PF12658.5,0.0
PF12578.6,0.0
PF12565.6,0.0
PF12566.6,0.0
PF12567.6,0.0
PF12568.6,0.0
PF12569.6,0.0
PF12570.6,0.0
PF12571.6,0.0
PF12572.6,0.0
PF12573.6,0.0
PF12574.6,0.0
PF12575.6,0.0
PF12576.6,0.0
PF12577.6,0.0
PF12579.6,0.0
PF12563.6,0.0
PF12580.6,0.0
PF12581.6,0.0
PF12582.6,0.0
PF12583.6,0.0
PF12584.6,0.0
PF12585.6,0.0
PF12586.6,0.0
PF12587.6,0.0
PF12588.6,0.0
PF12589.6,0.0
PF12590.6,0.0
PF12591.6,0.0
PF12592.6,0.0
PF12564.6,0.0
PF12562.6,0.0
PF12657.5,0.0
PF12546.6,0.0
PF12533.6,0.0
PF12534.6,0.0
PF12535.6,0.0
PF12536.6,0.0
PF12537.6,0.0
PF12538.6,0.0
PF12539.6,0.0
PF12540.6,0.0
PF12541.6,0.0
PF12542.6,0.0
PF12543.6,0.0
PF12544.6,0.0
PF12545.6,0.0
PF12547.6,0.0
PF12561.6,0.0
PF12548.6,0.0
PF12549.6,0.0
PF12550.6,0.0
PF12551.6,0.0
PF12552.6,0.0
PF12553.6,0.0
PF12554.6,0.0
PF12555.6,0.0
PF12556.6,0.0
PF12557.6,0.0
PF12558.6,0.0
PF12559.6,0.0
PF12560.6,0.0
PF12593.6,0.0
PF12594.6,0.0
PF12595.6,0.0
PF12641.5,0.0
PF12628.5,0.0
PF12629.5,0.0
PF12630.5,0.0
PF12631.5,0.0
PF12632.5,0.0
PF12633.5,0.0
PF12634.5,0.0
PF12635.5,0.0
PF12636.5,0.0
PF12637.5,0.0
PF12638.5,0.0
PF12639.5,0.0
PF12640.5,0.0
PF12642.5,0.0
PF12596.6,0.0
PF12643.5,0.0
PF12644.5,0.0
PF12645.5,0.0
PF12646.5,0.0
PF12647.5,0.0
PF12648.5,0.0
PF12650.5,0.0
PF12651.5,0.0
PF12652.5,0.0
PF12653.5,0.0
PF12654.5,0.0
PF12655.5,0.0
